Year	Total	Gas	Liquids	Solids	Production	Flaring	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	J-D	D-N	DJF	MAM	JJA	SON	Glob	NHem	SHem	24N-90N	24S-24N	90S-24S	64N-90N	44N-64N	24N-44N	EQU-24N	24S-EQU	44S-24S	64S-44S	90S-64S
1881	243	0	4	239	0	0	-0.09	-0.14	0.01	-0.03	-0.04	-0.28	-0.06	-0.02	-0.08	-0.19	-0.26	-0.15	-0.11	-0.12	-0.15	-0.02	-0.12	-0.18	-0.11	-0.2	-0.03	-0.3	-0.01	-0.06	-0.66	-0.46	-0.13	-0.04	0.02	-0.06	-0.02	0.33
1882	256	0	4	252	0	0	0.1	0.09	0.02	-0.2	-0.17	-0.25	-0.1	0.04	-0.01	-0.22	-0.21	-0.25	-0.1	-0.09	0.01	-0.12	-0.1	-0.14	-0.1	-0.18	-0.01	-0.23	-0.09	0.03	-1.36	-0.25	-0.01	-0.1	-0.09	0.03	0.08	0.37
1883	272	0	3	269	0	0	-0.33	-0.42	-0.17	-0.24	-0.25	-0.11	-0.08	-0.13	-0.18	-0.11	-0.2	-0.18	-0.2	-0.21	-0.33	-0.22	-0.11	-0.16	-0.2	-0.31	-0.09	-0.35	-0.21	-0.02	-0.32	-0.62	-0.18	-0.23	-0.2	-0.01	0	0.33
1884	275	0	4	271	0	0	-0.18	-0.11	-0.34	-0.36	-0.31	-0.38	-0.34	-0.26	-0.23	-0.22	-0.3	-0.29	-0.28	-0.27	-0.16	-0.34	-0.32	-0.25	-0.28	-0.43	-0.13	-0.57	-0.17	-0.12	-1.31	-0.62	-0.4	-0.2	-0.14	-0.15	-0.05	0.36
1885	277	1	4	273	0	0	-0.64	-0.29	-0.23	-0.44	-0.41	-0.5	-0.28	-0.27	-0.19	-0.19	-0.22	-0.05	-0.31	-0.33	-0.41	-0.36	-0.35	-0.2	-0.31	-0.42	-0.21	-0.61	-0.17	-0.2	-1.19	-0.72	-0.41	-0.1	-0.23	-0.27	-0.07	0.34
1886	281	2	5	275	0	0	-0.42	-0.45	-0.41	-0.29	-0.27	-0.39	-0.16	-0.31	-0.19	-0.25	-0.26	-0.25	-0.3	-0.29	-0.31	-0.32	-0.29	-0.23	-0.3	-0.39	-0.22	-0.49	-0.24	-0.2	-1.24	-0.47	-0.36	-0.23	-0.25	-0.18	-0.21	0.23
1887	295	3	5	287	0	0	-0.66	-0.48	-0.32	-0.37	-0.33	-0.2	-0.19	-0.27	-0.2	-0.32	-0.26	-0.38	-0.33	-0.32	-0.46	-0.34	-0.22	-0.26	-0.33	-0.38	-0.29	-0.47	-0.27	-0.27	-1.58	-0.58	-0.18	-0.23	-0.32	-0.24	-0.29	0.16
1888	327	5	5	317	0	0	-0.42	-0.43	-0.47	-0.29	-0.22	-0.2	-0.1	-0.11	-0.08	0.01	0	-0.13	-0.2	-0.22	-0.41	-0.33	-0.14	-0.02	-0.2	-0.24	-0.17	-0.43	0.07	-0.34	-1.46	-0.48	-0.21	0.06	0.07	-0.29	-0.37	0.12
1889	327	3	6	318	0	0	-0.2	0.14	0.04	0.04	-0.03	-0.12	-0.05	-0.18	-0.18	-0.22	-0.3	-0.31	-0.11	-0.1	-0.06	0.02	-0.11	-0.24	-0.11	-0.17	-0.06	-0.27	0.05	-0.17	-0.9	-0.19	-0.19	-0.01	0.1	-0.15	-0.16	0.15
1890	356	3	8	345	0	0	-0.48	-0.48	-0.41	-0.38	-0.48	-0.27	-0.29	-0.36	-0.36	-0.23	-0.37	-0.3	-0.37	-0.37	-0.42	-0.42	-0.31	-0.32	-0.37	-0.41	-0.33	-0.46	-0.38	-0.26	-1.36	-0.47	-0.27	-0.32	-0.43	-0.16	-0.39	0
1891	372	2	9	360	0	0	-0.46	-0.48	-0.15	-0.26	-0.17	-0.22	-0.22	-0.21	-0.14	-0.23	-0.37	-0.02	-0.24	-0.27	-0.41	-0.19	-0.22	-0.25	-0.24	-0.25	-0.24	-0.37	-0.15	-0.24	-1.32	-0.26	-0.25	-0.06	-0.25	-0.2	-0.27	0.04
1892	374	2	9	363	0	0	-0.26	-0.15	-0.36	-0.35	-0.25	-0.2	-0.27	-0.2	-0.25	-0.16	-0.5	-0.29	-0.27	-0.25	-0.14	-0.32	-0.22	-0.3	-0.27	-0.32	-0.22	-0.33	-0.3	-0.16	-1.36	-0.38	-0.1	-0.32	-0.29	-0.03	-0.33	0
1893	370	2	10	358	0	0	-0.68	-0.51	-0.24	-0.33	-0.35	-0.23	-0.14	-0.23	-0.18	-0.16	-0.17	-0.38	-0.3	-0.29	-0.49	-0.3	-0.2	-0.17	-0.3	-0.41	-0.19	-0.4	-0.4	-0.07	-0.91	-0.41	-0.28	-0.43	-0.37	0.04	-0.21	-0.03
1894	383	2	9	372	0	0	-0.55	-0.32	-0.22	-0.42	-0.3	-0.44	-0.32	-0.28	-0.22	-0.17	-0.25	-0.22	-0.31	-0.32	-0.41	-0.31	-0.34	-0.21	-0.31	-0.38	-0.23	-0.29	-0.39	-0.22	-1.36	-0.22	-0.07	-0.53	-0.24	-0.15	-0.31	-0.16
1895	406	2	11	393	0	0	-0.44	-0.43	-0.3	-0.23	-0.23	-0.25	-0.17	-0.16	-0.02	-0.1	-0.16	-0.12	-0.22	-0.23	-0.36	-0.25	-0.19	-0.1	-0.22	-0.29	-0.14	-0.36	-0.14	-0.19	-0.99	-0.42	-0.16	-0.19	-0.08	-0.2	-0.13	-0.06
1896	419	2	12	405	0	0	-0.23	-0.15	-0.3	-0.33	-0.2	-0.14	-0.06	-0.1	-0.05	0.04	-0.16	-0.12	-0.15	-0.15	-0.17	-0.28	-0.1	-0.06	-0.15	-0.22	-0.08	-0.35	0.02	-0.18	-1.3	-0.39	-0.09	-0.02	0.07	-0.15	-0.21	-0.01
1897	440	2	13	425	0	0	-0.23	-0.2	-0.13	-0.02	-0.01	-0.13	-0.05	-0.03	-0.05	-0.09	-0.18	-0.25	-0.11	-0.1	-0.19	-0.05	-0.07	-0.11	-0.11	-0.14	-0.09	-0.31	0.16	-0.28	-0.81	-0.35	-0.16	0.14	0.18	-0.2	-0.36	0
1898	465	2	13	449	0	0	-0.07	-0.33	-0.56	-0.34	-0.36	-0.22	-0.23	-0.24	-0.19	-0.32	-0.37	-0.22	-0.29	-0.29	-0.22	-0.42	-0.23	-0.29	-0.29	-0.28	-0.29	-0.28	-0.29	-0.29	-1.29	-0.05	-0.18	-0.28	-0.3	-0.26	-0.3	0.03
1899	507	3	14	491	0	0	-0.18	-0.4	-0.35	-0.21	-0.2	-0.26	-0.14	-0.05	-0.02	0	0.12	-0.27	-0.16	-0.16	-0.27	-0.25	-0.15	0.03	-0.16	-0.18	-0.15	-0.18	-0.14	-0.18	-1.06	0.02	-0.1	-0.16	-0.11	-0.13	-0.22	0.09
1900	534	3	16	515	0	0	-0.4	-0.08	0.01	-0.15	-0.06	-0.15	-0.08	-0.04	0.02	0.08	-0.13	-0.14	-0.09	-0.1	-0.25	-0.07	-0.09	-0.01	-0.09	-0.05	-0.13	-0.13	0.13	-0.35	-0.63	-0.06	-0.05	0.08	0.17	-0.31	-0.38	0.07
1901	552	4	18	531	0	0	-0.28	-0.06	0.04	-0.06	-0.17	-0.1	-0.09	-0.13	-0.17	-0.29	-0.17	-0.3	-0.15	-0.13	-0.16	-0.06	-0.1	-0.21	-0.15	-0.09	-0.2	-0.12	-0.05	-0.29	-0.58	-0.02	-0.07	-0.03	-0.08	-0.3	-0.26	-0.03
1902	566	4	19	543	0	0	-0.19	-0.04	-0.3	-0.29	-0.32	-0.34	-0.26	-0.28	-0.22	-0.27	-0.36	-0.46	-0.28	-0.26	-0.17	-0.3	-0.29	-0.28	-0.28	-0.32	-0.23	-0.5	-0.06	-0.34	-1.61	-0.42	-0.26	-0.03	-0.1	-0.27	-0.42	0.01
1903	617	4	20	593	0	0	-0.28	-0.06	-0.24	-0.4	-0.42	-0.45	-0.3	-0.44	-0.43	-0.42	-0.39	-0.47	-0.36	-0.36	-0.27	-0.35	-0.4	-0.41	-0.36	-0.36	-0.36	-0.42	-0.32	-0.34	-0.52	-0.32	-0.46	-0.26	-0.38	-0.37	-0.25	-0.59
1904	624	4	23	597	0	0	-0.64	-0.54	-0.46	-0.51	-0.51	-0.5	-0.48	-0.44	-0.47	-0.35	-0.17	-0.29	-0.45	-0.46	-0.55	-0.49	-0.47	-0.33	-0.45	-0.46	-0.43	-0.48	-0.46	-0.39	-0.37	-0.55	-0.47	-0.43	-0.49	-0.36	-0.38	-1.25
1905	663	5	23	636	0	0	-0.38	-0.59	-0.25	-0.37	-0.34	-0.32	-0.24	-0.21	-0.15	-0.24	-0.09	-0.21	-0.28	-0.29	-0.42	-0.32	-0.26	-0.16	-0.28	-0.29	-0.27	-0.39	-0.13	-0.38	-0.23	-0.17	-0.57	-0.15	-0.12	-0.38	-0.34	-0.37
1906	707	5	23	680	0	0	-0.31	-0.32	-0.15	-0.03	-0.21	-0.21	-0.25	-0.18	-0.25	-0.2	-0.39	-0.18	-0.23	-0.23	-0.28	-0.13	-0.22	-0.28	-0.23	-0.21	-0.24	-0.22	-0.21	-0.25	-0.38	0.02	-0.33	-0.2	-0.22	-0.23	-0.22	-0.65
1907	784	5	28	750	0	0	-0.44	-0.52	-0.24	-0.4	-0.46	-0.43	-0.36	-0.37	-0.33	-0.24	-0.52	-0.5	-0.4	-0.37	-0.38	-0.37	-0.39	-0.36	-0.4	-0.47	-0.33	-0.58	-0.34	-0.3	-0.8	-0.71	-0.45	-0.31	-0.37	-0.25	-0.3	-1.18
1908	750	5	30	714	0	0	-0.46	-0.36	-0.58	-0.46	-0.41	-0.39	-0.35	-0.45	-0.33	-0.43	-0.51	-0.49	-0.44	-0.44	-0.44	-0.48	-0.4	-0.42	-0.44	-0.47	-0.41	-0.48	-0.47	-0.34	-0.51	-0.52	-0.46	-0.45	-0.5	-0.31	-0.38	0.66
1909	785	6	32	747	0	0	-0.7	-0.47	-0.52	-0.59	-0.54	-0.52	-0.43	-0.3	-0.37	-0.39	-0.32	-0.54	-0.47	-0.47	-0.55	-0.55	-0.41	-0.36	-0.47	-0.48	-0.47	-0.49	-0.51	-0.41	-0.84	-0.51	-0.39	-0.47	-0.55	-0.38	-0.41	-0.49
1910	819	7	34	778	0	0	-0.43	-0.43	-0.48	-0.38	-0.34	-0.37	-0.32	-0.34	-0.37	-0.39	-0.57	-0.69	-0.43	-0.41	-0.47	-0.4	-0.34	-0.44	-0.43	-0.44	-0.42	-0.38	-0.53	-0.33	-0.77	-0.15	-0.43	-0.52	-0.55	-0.32	-0.32	0.27
1911	836	7	36	792	0	0	-0.63	-0.6	-0.62	-0.55	-0.52	-0.47	-0.41	-0.44	-0.39	-0.26	-0.2	-0.24	-0.44	-0.48	-0.64	-0.56	-0.44	-0.28	-0.44	-0.41	-0.48	-0.4	-0.45	-0.48	-0.44	-0.37	-0.42	-0.43	-0.48	-0.43	-0.53	0.14
1912	879	8	37	834	0	0	-0.28	-0.15	-0.38	-0.21	-0.2	-0.25	-0.41	-0.52	-0.48	-0.56	-0.38	-0.42	-0.35	-0.34	-0.23	-0.26	-0.39	-0.47	-0.35	-0.48	-0.23	-0.6	-0.2	-0.31	-0.75	-0.72	-0.48	-0.29	-0.11	-0.37	-0.13	-1.54
1913	943	8	41	895	0	0	-0.41	-0.44	-0.43	-0.36	-0.45	-0.46	-0.36	-0.34	-0.34	-0.35	-0.18	-0.03	-0.35	-0.38	-0.42	-0.42	-0.39	-0.29	-0.35	-0.43	-0.25	-0.42	-0.31	-0.31	-0.64	-0.29	-0.45	-0.45	-0.17	-0.28	-0.31	-0.92
1914	850	8	42	800	0	0	0.01	-0.14	-0.23	-0.27	-0.2	-0.23	-0.24	-0.14	-0.13	-0.05	-0.21	-0.09	-0.16	-0.16	-0.05	-0.24	-0.21	-0.13	-0.16	-0.19	-0.13	-0.24	-0.07	-0.2	-0.64	-0.08	-0.24	-0.11	-0.03	-0.17	-0.23	-0.33
1915	838	9	45	784	0	0	-0.18	-0.01	-0.11	0.08	-0.03	-0.14	-0.03	-0.16	-0.13	-0.22	-0.14	-0.25	-0.11	-0.1	-0.1	-0.02	-0.11	-0.16	-0.11	-0.1	-0.12	-0.19	0.01	-0.19	-0.65	-0.08	-0.13	0.04	-0.02	-0.1	-0.23	-1.99
1916	901	10	48	842	0	0	-0.19	-0.21	-0.32	-0.25	-0.26	-0.42	-0.33	-0.26	-0.28	-0.27	-0.42	-0.79	-0.33	-0.29	-0.22	-0.28	-0.34	-0.33	-0.33	-0.36	-0.32	-0.31	-0.43	-0.23	-0.43	-0.45	-0.2	-0.43	-0.43	-0.22	-0.17	-1.21
1917	955	11	54	891	0	0	-0.47	-0.56	-0.49	-0.39	-0.48	-0.4	-0.23	-0.26	-0.18	-0.35	-0.27	-0.72	-0.4	-0.41	-0.6	-0.45	-0.29	-0.27	-0.4	-0.53	-0.28	-0.44	-0.6	-0.1	-0.81	-0.4	-0.37	-0.67	-0.52	-0.17	0.05	0.2
1918	936	10	53	873	0	0	-0.44	-0.31	-0.19	-0.4	-0.37	-0.28	-0.2	-0.26	-0.14	-0.04	-0.16	-0.29	-0.26	-0.29	-0.49	-0.32	-0.25	-0.11	-0.26	-0.33	-0.18	-0.36	-0.26	-0.15	-1.29	-0.15	-0.24	-0.28	-0.23	-0.08	-0.23	-0.13
1919	806	10	61	735	0	0	-0.19	-0.22	-0.27	-0.19	-0.2	-0.28	-0.21	-0.19	-0.17	-0.15	-0.3	-0.35	-0.23	-0.22	-0.23	-0.22	-0.23	-0.21	-0.23	-0.34	-0.11	-0.44	-0.13	-0.15	-1.03	-0.46	-0.26	-0.2	-0.06	-0.08	-0.22	0.27
1920	932	11	78	843	0	0	-0.15	-0.23	-0.06	-0.26	-0.25	-0.33	-0.32	-0.29	-0.19	-0.28	-0.33	-0.46	-0.26	-0.25	-0.24	-0.19	-0.31	-0.27	-0.26	-0.27	-0.25	-0.21	-0.26	-0.32	-0.07	-0.09	-0.31	-0.37	-0.16	-0.21	-0.44	-0.86
1921	803	10	84	709	0	0	-0.04	-0.21	-0.28	-0.36	-0.36	-0.31	-0.15	-0.24	-0.17	-0.06	-0.16	-0.18	-0.21	-0.23	-0.24	-0.33	-0.23	-0.13	-0.21	-0.09	-0.32	0.02	-0.27	-0.37	-0.19	0.23	-0.05	-0.27	-0.26	-0.26	-0.49	-0.69
1922	845	11	94	740	0	0	-0.32	-0.42	-0.13	-0.21	-0.34	-0.33	-0.26	-0.3	-0.28	-0.32	-0.16	-0.17	-0.27	-0.27	-0.31	-0.23	-0.29	-0.25	-0.27	-0.26	-0.28	-0.22	-0.31	-0.26	-0.46	-0.33	-0.09	-0.32	-0.31	-0.24	-0.27	-0.22
1923	970	14	111	845	0	0	-0.26	-0.36	-0.31	-0.37	-0.33	-0.23	-0.28	-0.29	-0.27	-0.12	0.03	-0.05	-0.24	-0.25	-0.26	-0.34	-0.27	-0.12	-0.24	-0.18	-0.29	-0.11	-0.29	-0.29	0.06	-0.04	-0.21	-0.29	-0.28	-0.27	-0.28	-0.51
1924	963	16	110	836	0	0	-0.23	-0.26	-0.12	-0.35	-0.19	-0.27	-0.26	-0.34	-0.31	-0.35	-0.23	-0.41	-0.28	-0.25	-0.18	-0.22	-0.29	-0.3	-0.28	-0.16	-0.39	-0.11	-0.24	-0.49	0.16	-0.16	-0.16	-0.23	-0.26	-0.39	-0.6	-0.66
1925	975	17	116	842	0	0	-0.32	-0.33	-0.22	-0.24	-0.3	-0.33	-0.29	-0.18	-0.13	-0.17	0.04	0.09	-0.2	-0.24	-0.35	-0.25	-0.27	-0.09	-0.2	-0.09	-0.3	-0.02	-0.21	-0.37	-0.27	0.26	-0.12	-0.19	-0.22	-0.24	-0.55	-0.76
1926	983	19	119	846	0	0	0.2	0.07	0.12	-0.14	-0.24	-0.25	-0.2	-0.1	-0.1	-0.11	-0.07	-0.3	-0.09	-0.06	0.12	-0.09	-0.18	-0.09	-0.09	0.03	-0.2	0.03	0.04	-0.39	0.32	0.24	-0.19	0.04	0.04	-0.33	-0.46	-0.56
1927	1062	21	136	905	0	0	-0.28	-0.19	-0.38	-0.31	-0.24	-0.27	-0.13	-0.18	-0.05	-0.01	-0.04	-0.36	-0.2	-0.2	-0.26	-0.31	-0.19	-0.03	-0.2	-0.11	-0.29	-0.13	-0.13	-0.38	-0.22	-0.14	-0.1	-0.08	-0.17	-0.32	-0.41	-1.47
